contact_id,phone_e164,phone_local,contact_type,agent_company,market_states,office_address,website,npc_profile_url,extraction_date,verification_note
NPC-0151,+2347038600757,07038600757,Phone + WhatsApp,Harris Consult Realty,"Anambra, Enugu","No 5, Bale Close, Ifako, Gbagada, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/harris-consult-realty-14093,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0152,+2349031680788,09031680788,Phone + WhatsApp,Bosslady Realty,Delta,"Dbs Junction By Okpanam Road, Asaba, Delta State, Nigeria",,https://nigeriapropertycentre.com/agents/bosslady-realty-209521,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0153,+2348121711198,08121711198,Phone + WhatsApp,Hope Land Fresh Property Ltd,"Abia, Abuja, Anambra, Delta, Imo","5, Daffodil, Cooperative Villa Estate, Ajah, Lagos State, Nigeria",,https://nigeriapropertycentre.com/agents/hope-land-fresh-property-ltd-44709,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0154,+2347033133991,07033133991,Phone,Empresss Properties,Edo,"5,unity Estate, Badore, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/empresss-properties-170739,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0155,+2348177766339,08177766339,Phone + WhatsApp,Bluehedge Realtors,Rivers,"Plot 77b, Woji Road, Gra Phase 2, Port Harcourt, Rivers State, Nigeria",,https://nigeriapropertycentre.com/agents/bluehedge-realtors-105982,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0156,+2348081182285,08081182285,Phone + WhatsApp,Ikoyivi Properties,"Abuja, Cross River, Enugu, Ondo, Rivers","Lagos, Lagos, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ikoyivi-properties-10838,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0157,+2348096339931,08096339931,Phone,Innosinach Properties,"Abia, Abuja, Akwa Ibom, Delta, Enugu, Imo, Rivers","No 8 Joseph Avenue Sangotedo Lagos State, Ajah Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/innosinach-properties-132981,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0158,+2348121355806,08121355806,Phone,Abbalux Global Realty Ltd,Abuja,"C20 Grosvenor Gate Estate, Apo Wumba, Wumba District (apo), Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/abbalux-global-realty-ltd-188755,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0159,+2348022501935,08022501935,Phone,E&j Property Hub Naija Limited,"Abuja, Ondo","Suites D212-214 Akord Shopping Mall, Bogije Lagos, Ibeju Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ej-property-hub-naija-limited-67324,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0160,+2349124412127,09124412127,Phone,Kerantol Limited,"Abuja, Edo, Ekiti","6, Al Street, Abule Akasolori, Ikorodu, Lagos, Ikorodu, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/kerantol-limited-105271,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0161,+2347031102089,07031102089,Phone,Joe Okafor & Associates,Kaduna,"Opp Jos Road, Ahmadu Bello Way, Kaduna, Nigeria",,https://nigeriapropertycentre.com/agents/joe-okafor-associates-51357,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0162,+2348169196345,08169196345,Phone + WhatsApp,D's Square Properties & Home's,Enugu,"Abraham Adesunya, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ds-square-properties-homes-170500,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
